title,start_time,end_time,exercise_title,set_index,set_type,weight_lbs,reps,duration_seconds,date,typeOfExercise,primary_muscle_group
Real Gym - Fri,2026-07-27 15:13:00,2026-07-27 16:04:00,Scapular Pull Ups,1,normal,,5.0,,2026-07-27,bodyweight,upper_back
Real Gym - Fri,2026-07-27 15:13:00,2026-07-27 16:04:00,Scapular Pull Ups,2,normal,,5.0,,2026-07-27,bodyweight,upper_back
Afternoon workout 💪,2026-07-21 18:08:00,2026-07-21 18:53:00,HIIT,0,normal,,,2700.0,2026-07-21,timed,cardio
Real Gym - Fri,2026-07-20 12:09:00,2026-07-20 12:53:00,Lat Pulldown (Cable),0,normal,55.0,8.0,,2026-07-20,weighted,lats
Real Gym - Fri,2026-07-20 12:09:00,2026-07-20 12:53:00,Lat Pulldown (Cable),1,normal,55.0,8.0,,2026-07-20,weighted,lats
Real Gym - Fri,2026-07-20 12:09:00,2026-07-20 12:53:00,Lat Pulldown (Cable),2,normal,55.0,8.0,,2026-07-20,weighted,lats
Real Gym - Fri,2026-07-20 12:09:00,2026-07-20 12:53:00,Lat Pulldown (Cable),3,normal,40.0,12.0,,2026-07-20,weighted,lats
Real Gym - Fri,2026-07-20 12:09:00,2026-07-20 12:53:00,Seated Row (Machine),0,normal,55.0,8.0,,2026-07-20,weighted,upper_back
Real Gym - Fri,2026-07-20 12:09:00,2026-07-20 12:53:00,Seated Row (Machine),1,normal,55.0,8.0,,2026-07-20,weighted,upper_back
Real Gym - Fri,2026-07-20 12:09:00,2026-07-20 12:53:00,Seated Row (Machine),2,normal,40.0,12.0,,2026-07-20,weighted,upper_back
Real Gym - Fri,2026-07-20 12:09:00,2026-07-20 12:53:00,Face Pull,0,normal,2.5,15.0,,2026-07-20,weighted,shoulders
Real Gym - Fri,2026-07-20 12:09:00,2026-07-20 12:53:00,Face Pull,1,normal,5.0,10.0,,2026-07-20,weighted,shoulders
Real Gym - Fri,2026-07-20 12:09:00,2026-07-20 12:53:00,Face Pull,2,normal,5.0,10.0,,2026-07-20,weighted,shoulders
Real Gym - Fri,2026-07-20 12:09:00,2026-07-20 12:53:00,Hanging Knee Raise,0,normal,,4.0,,2026-07-20,bodyweight,abdominals
Real Gym - Fri,2026-07-20 12:09:00,2026-07-20 12:53:00,Hanging Knee Raise,1,normal,,4.0,,2026-07-20,bodyweight,abdominals
Real Gym - Fri,2026-07-20 12:09:00,2026-07-20 12:53:00,Stretching,0,normal,,,380.0,2026-07-20,timed,other
Real Gym - Fri,2026-07-20 12:09:00,2026-07-20 12:53:00,Incline Chest Press (Machine),0,normal,15.0,10.0,,2026-07-20,weighted,chest
Real Gym - Fri,2026-07-20 12:09:00,2026-07-20 12:53:00,Incline Chest Press (Machine),1,normal,15.0,6.0,,2026-07-20,weighted,chest
Real Gym - Fri,2026-07-20 12:09:00,2026-07-20 12:53:00,Leg Press (Machine),0,normal,70.0,10.0,,2026-07-20,weighted,quadriceps
Real Gym - Fri,2026-07-20 12:09:00,2026-07-20 12:53:00,Leg Press (Machine),1,normal,70.0,10.0,,2026-07-20,weighted,quadriceps
Real Gym - Fri,2026-07-20 12:09:00,2026-07-20 12:53:00,Calf Press (Machine),0,normal,70.0,12.0,,2026-07-20,weighted,calves
Real Gym - Fri,2026-07-20 12:09:00,2026-07-20 12:53:00,Calf Press (Machine),1,normal,85.0,12.0,,2026-07-20,weighted,calves
Real Gym - Fri,2026-07-20 12:09:00,2026-07-20 12:53:00,Dead Bug,0,normal,,10.0,,2026-07-20,bodyweight,abdominals
Real Gym - Fri,2026-07-20 12:09:00,2026-07-20 12:53:00,Dead Bug,1,normal,,10.0,,2026-07-20,bodyweight,abdominals
Evening workout 🏋️,2026-07-19 20:52:00,2026-07-19 20:54:00,Walking,0,normal,,,75.0,2026-07-19,timed,cardio
Evening workout 🏋️,2026-07-18 19:40:00,2026-07-18 20:40:00,Swimming,0,normal,,,3600.0,2026-07-18,timed,cardio
Late night workout 🌙,2026-07-18 02:51:00,2026-07-18 02:54:00,HIIT,0,normal,,,3600.0,2026-07-18,timed,cardio
Real Gym - Fri,2026-07-15 16:43:00,2026-07-15 17:27:00,Lat Pulldown (Cable),0,normal,40.0,10.0,,2026-07-15,weighted,lats
Real Gym - Fri,2026-07-15 16:43:00,2026-07-15 17:27:00,Lat Pulldown (Cable),1,normal,40.0,10.0,,2026-07-15,weighted,lats
Real Gym - Fri,2026-07-15 16:43:00,2026-07-15 17:27:00,Lat Pulldown (Cable),2,normal,40.0,10.0,,2026-07-15,weighted,lats
Real Gym - Fri,2026-07-15 16:43:00,2026-07-15 17:27:00,Lat Pulldown (Cable),3,normal,55.0,8.0,,2026-07-15,weighted,lats
Real Gym - Fri,2026-07-15 16:43:00,2026-07-15 17:27:00,Seated Row (Machine),0,normal,40.0,10.0,,2026-07-15,weighted,upper_back
Real Gym - Fri,2026-07-15 16:43:00,2026-07-15 17:27:00,Seated Row (Machine),1,normal,40.0,10.0,,2026-07-15,weighted,upper_back
Real Gym - Fri,2026-07-15 16:43:00,2026-07-15 17:27:00,Seated Row (Machine),2,normal,40.0,10.0,,2026-07-15,weighted,upper_back
Real Gym - Fri,2026-07-15 16:43:00,2026-07-15 17:27:00,Face Pull,0,normal,2.5,8.0,,2026-07-15,weighted,shoulders
Real Gym - Fri,2026-07-15 16:43:00,2026-07-15 17:27:00,Face Pull,1,normal,2.5,8.0,,2026-07-15,weighted,shoulders
Real Gym - Fri,2026-07-15 16:43:00,2026-07-15 17:27:00,Face Pull,2,normal,2.5,15.0,,2026-07-15,weighted,shoulders
Real Gym - Fri,2026-07-15 16:43:00,2026-07-15 17:27:00,Hanging Knee Raise,0,normal,,8.0,,2026-07-15,bodyweight,abdominals
Real Gym - Fri,2026-07-15 16:43:00,2026-07-15 17:27:00,Hanging Knee Raise,1,normal,,8.0,,2026-07-15,bodyweight,abdominals
Real Gym - Fri,2026-07-15 16:43:00,2026-07-15 17:27:00,Stretching,0,normal,,,403.0,2026-07-15,timed,other
Real Gym - Fri,2026-07-15 16:43:00,2026-07-15 17:27:00,Dead Bug,0,normal,,10.0,,2026-07-15,bodyweight,abdominals
Real Gym - Fri,2026-07-15 16:43:00,2026-07-15 17:27:00,Dead Bug,1,normal,,10.0,,2026-07-15,bodyweight,abdominals
Real Gym - Fri,2026-07-15 16:43:00,2026-07-15 17:27:00,Plank,0,normal,,,25.0,2026-07-15,timed,abdominals
Home Gym - Wed,2026-07-14 21:14:00,2026-07-14 21:49:00,Shoulder Press (Dumbbell),0,normal,10.0,10.0,,2026-07-14,weighted,shoulders
Home Gym - Wed,2026-07-14 21:14:00,2026-07-14 21:49:00,Shoulder Press (Dumbbell),1,normal,10.0,10.0,,2026-07-14,weighted,shoulders
Home Gym - Wed,2026-07-14 21:14:00,2026-07-14 21:49:00,Chest Fly (Dumbbell),0,normal,5.0,10.0,,2026-07-14,weighted,chest
Home Gym - Wed,2026-07-14 21:14:00,2026-07-14 21:49:00,Chest Fly (Dumbbell),1,normal,5.0,10.0,,2026-07-14,weighted,chest
Home Gym - Wed,2026-07-14 21:14:00,2026-07-14 21:49:00,Incline Bench Press (Dumbbell),0,normal,10.0,8.0,,2026-07-14,weighted,chest
Home Gym - Wed,2026-07-14 21:14:00,2026-07-14 21:49:00,Incline Bench Press (Dumbbell),1,normal,10.0,8.0,,2026-07-14,weighted,chest
Home Gym - Wed,2026-07-14 21:14:00,2026-07-14 21:49:00,Lateral Raise (Dumbbell),0,normal,5.0,10.0,,2026-07-14,weighted,shoulders
Home Gym - Wed,2026-07-14 21:14:00,2026-07-14 21:49:00,Lateral Raise (Dumbbell),1,normal,5.0,10.0,,2026-07-14,weighted,shoulders
Home Gym - Wed,2026-07-14 21:14:00,2026-07-14 21:49:00,Triceps Kickback (Dumbbell),0,normal,5.0,10.0,,2026-07-14,weighted,triceps
Home Gym - Wed,2026-07-14 21:14:00,2026-07-14 21:49:00,Triceps Kickback (Dumbbell),1,normal,5.0,10.0,,2026-07-14,weighted,triceps
Home Gym - Wed,2026-07-14 21:14:00,2026-07-14 21:49:00,Dead Bug,0,normal,,10.0,,2026-07-14,bodyweight,abdominals
Home Gym - Wed,2026-07-14 21:14:00,2026-07-14 21:49:00,Dead Bug,1,normal,,10.0,,2026-07-14,bodyweight,abdominals
Home Gym - Wed,2026-07-14 21:14:00,2026-07-14 21:49:00,Dead Bug,2,normal,,10.0,,2026-07-14,bodyweight,abdominals
Evening workout 🏋️,2026-07-10 20:53:00,2026-07-10 20:54:00,Cycling,0,normal,,,38.0,2026-07-10,timed,cardio
Late night workout 🌙,2026-07-03 23:41:00,2026-07-04 00:08:00,Squat (Bodyweight),0,normal,,10.0,,2026-07-03,bodyweight,quadriceps
Late night workout 🌙,2026-07-03 23:41:00,2026-07-04 00:08:00,Cat-Cow,0,normal,,8.0,,2026-07-03,bodyweight,abdominals
Late night workout 🌙,2026-07-03 23:41:00,2026-07-04 00:08:00,Band Pullaparts,0,normal,,12.0,,2026-07-03,bodyweight,shoulders
Late night workout 🌙,2026-07-03 23:41:00,2026-07-04 00:08:00,Band Pullaparts,1,normal,,12.0,,2026-07-03,bodyweight,shoulders
Late night workout 🌙,2026-07-03 23:41:00,2026-07-04 00:08:00,Band Pullaparts,2,normal,,12.0,,2026-07-03,bodyweight,shoulders
Late night workout 🌙,2026-07-03 23:41:00,2026-07-04 00:08:00,Kneeling Push Up,0,normal,,7.0,,2026-07-03,bodyweight,chest
Late night workout 🌙,2026-07-03 23:41:00,2026-07-04 00:08:00,Kneeling Push Up,1,normal,,7.0,,2026-07-03,bodyweight,chest
Late night workout 🌙,2026-07-03 23:41:00,2026-07-04 00:08:00,Bent Over Row (Band),0,normal,,12.0,,2026-07-03,bodyweight,upper_back
Late night workout 🌙,2026-07-03 23:41:00,2026-07-04 00:08:00,Bent Over Row (Band),1,normal,,10.0,,2026-07-03,bodyweight,upper_back
Late night workout 🌙,2026-07-03 23:41:00,2026-07-04 00:08:00,Bird Dog,0,normal,,8.0,,2026-07-03,bodyweight,glutes
