"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_lbs","reps","distance_miles","duration_seconds","rpe"
"Real Gym - Fri","Jul 27, 2026, 3:13 PM","Jul 27, 2026, 4:04 PM","","Scapular Pull Ups",,"",1,"normal",,5,,,
"Real Gym - Fri","Jul 27, 2026, 3:13 PM","Jul 27, 2026, 4:04 PM","","Scapular Pull Ups",,"",2,"normal",,5,,,
"Afternoon workout 💪","Jul 21, 2026, 6:08 PM","Jul 21, 2026, 6:53 PM","","HIIT",,"",0,"normal",,,,2700,
"Real Gym - Fri","Jul 20, 2026, 12:09 PM","Jul 20, 2026, 12:53 PM","","Lat Pulldown (Cable)",,"",0,"normal",55,8,,,
"Real Gym - Fri","Jul 20, 2026, 12:09 PM","Jul 20, 2026, 12:53 PM","","Lat Pulldown (Cable)",,"",1,"normal",55,8,,,
"Real Gym - Fri","Jul 20, 2026, 12:09 PM","Jul 20, 2026, 12:53 PM","","Lat Pulldown (Cable)",,"",2,"normal",55,8,,,
"Real Gym - Fri","Jul 20, 2026, 12:09 PM","Jul 20, 2026, 12:53 PM","","Lat Pulldown (Cable)",,"",3,"normal",40,12,,,
"Real Gym - Fri","Jul 20, 2026, 12:09 PM","Jul 20, 2026, 12:53 PM","","Seated Row (Machine)",,"",0,"normal",55,8,,,
"Real Gym - Fri","Jul 20, 2026, 12:09 PM","Jul 20, 2026, 12:53 PM","","Seated Row (Machine)",,"",1,"normal",55,8,,,
"Real Gym - Fri","Jul 20, 2026, 12:09 PM","Jul 20, 2026, 12:53 PM","","Seated Row (Machine)",,"",2,"normal",40,12,,,
"Real Gym - Fri","Jul 20, 2026, 12:09 PM","Jul 20, 2026, 12:53 PM","","Face Pull",,"",0,"normal",2.5,15,,,
"Real Gym - Fri","Jul 20, 2026, 12:09 PM","Jul 20, 2026, 12:53 PM","","Face Pull",,"",1,"normal",5,10,,,
"Real Gym - Fri","Jul 20, 2026, 12:09 PM","Jul 20, 2026, 12:53 PM","","Face Pull",,"",2,"normal",5,10,,,
"Real Gym - Fri","Jul 20, 2026, 12:09 PM","Jul 20, 2026, 12:53 PM","","Hanging Knee Raise",,"",0,"normal",,4,,,
"Real Gym - Fri","Jul 20, 2026, 12:09 PM","Jul 20, 2026, 12:53 PM","","Hanging Knee Raise",,"",1,"normal",,4,,,
"Real Gym - Fri","Jul 20, 2026, 12:09 PM","Jul 20, 2026, 12:53 PM","","Stretching",,"",0,"normal",,,,380,
"Real Gym - Fri","Jul 20, 2026, 12:09 PM","Jul 20, 2026, 12:53 PM","","Incline Chest Press (Machine)",,"",0,"normal",15,10,,,
"Real Gym - Fri","Jul 20, 2026, 12:09 PM","Jul 20, 2026, 12:53 PM","","Incline Chest Press (Machine)",,"",1,"normal",15,6,,,
"Real Gym - Fri","Jul 20, 2026, 12:09 PM","Jul 20, 2026, 12:53 PM","","Leg Press (Machine)",,"",0,"normal",70,10,,,
"Real Gym - Fri","Jul 20, 2026, 12:09 PM","Jul 20, 2026, 12:53 PM","","Leg Press (Machine)",,"",1,"normal",70,10,,,
"Real Gym - Fri","Jul 20, 2026, 12:09 PM","Jul 20, 2026, 12:53 PM","","Calf Press (Machine)",,"",0,"normal",70,12,,,
"Real Gym - Fri","Jul 20, 2026, 12:09 PM","Jul 20, 2026, 12:53 PM","","Calf Press (Machine)",,"",1,"normal",85,12,,,
"Real Gym - Fri","Jul 20, 2026, 12:09 PM","Jul 20, 2026, 12:53 PM","","Dead Bug",,"",0,"normal",,10,,,
"Real Gym - Fri","Jul 20, 2026, 12:09 PM","Jul 20, 2026, 12:53 PM","","Dead Bug",,"",1,"normal",,10,,,
"Evening workout 🏋️","Jul 19, 2026, 8:52 PM","Jul 19, 2026, 8:54 PM","","Walking",,"",0,"normal",,,3.5,75,
"Evening workout 🏋️","Jul 18, 2026, 7:40 PM","Jul 18, 2026, 8:40 PM","","Swimming",,"",0,"normal",,,2.5,3600,
"Late night workout 🌙","Jul 18, 2026, 2:51 AM","Jul 18, 2026, 2:54 AM","","HIIT",,"",0,"normal",,,,3600,
"Real Gym - Fri","Jul 15, 2026, 4:43 PM","Jul 15, 2026, 5:27 PM","","Lat Pulldown (Cable)",,"",0,"normal",40,10,,,
"Real Gym - Fri","Jul 15, 2026, 4:43 PM","Jul 15, 2026, 5:27 PM","","Lat Pulldown (Cable)",,"",1,"normal",40,10,,,
"Real Gym - Fri","Jul 15, 2026, 4:43 PM","Jul 15, 2026, 5:27 PM","","Lat Pulldown (Cable)",,"",2,"normal",40,10,,,
"Real Gym - Fri","Jul 15, 2026, 4:43 PM","Jul 15, 2026, 5:27 PM","","Lat Pulldown (Cable)",,"",3,"normal",55,8,,,
"Real Gym - Fri","Jul 15, 2026, 4:43 PM","Jul 15, 2026, 5:27 PM","","Seated Row (Machine)",,"",0,"normal",40,10,,,
